. Sequence file : [6t_8p_filtered_min4_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #18	14   	-728200.18527	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99760   0.05836   0.80045   0.13878  
      	     	          	           	             	                                      	 0.06727  -1.00122   0.02246   0.91150  
      	     	          	           	             	                                      	 0.91423   0.02226  -1.00766   0.07118  
      	     	          	           	             	                                      	 0.13915   0.79298   0.06248  -0.99461  

  #19	14   	-728547.77819	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99878   0.05664   0.80435   0.13779  
      	     	          	           	             	                                      	 0.06528  -1.00297   0.02479   0.91290  
      	     	          	           	             	                                      	 0.91868   0.02457  -1.00937   0.06613  
      	     	          	           	             	                                      	 0.13816   0.79419   0.05805  -0.99041  

  #20	14   	-727654.34277	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00226   0.05913   0.80406   0.13907  
      	     	          	           	             	                                      	 0.06815  -1.00128   0.02321   0.90993  
      	     	          	           	             	                                      	 0.91835   0.02300  -1.00801   0.06667  
      	     	          	           	             	                                      	 0.13944   0.79161   0.05852  -0.98958  

  #21	14   	-728660.52924	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00197   0.05723   0.80437   0.14037  
      	     	          	           	             	                                      	 0.06595  -0.99915   0.02319   0.91001  
      	     	          	           	             	                                      	 0.91871   0.02298  -1.00862   0.06694  
      	     	          	           	             	                                      	 0.14074   0.79169   0.05877  -0.99119  

  #22	14   	-725799.35772	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99813   0.05950   0.80112   0.13751  
      	     	          	           	             	                                      	 0.06858  -1.00645   0.02329   0.91458  
      	     	          	           	             	                                      	 0.91499   0.02308  -1.00476   0.06669  
      	     	          	           	             	                                      	 0.13788   0.79566   0.05855  -0.99208  

  #23	14   	-727366.03933	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00107   0.05886   0.80260   0.13962  
      	     	          	           	             	                                      	 0.06783  -1.00079   0.02366   0.90930  
      	     	          	           	             	                                      	 0.91668   0.02344  -1.00832   0.06820  
      	     	          	           	             	                                      	 0.13999   0.79106   0.05987  -0.99093  

  #24	14   	-727184.37083	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00083   0.05812   0.80212   0.14060  
      	     	          	           	             	                                      	 0.06698  -1.00125   0.02463   0.90964  
      	     	          	           	             	                                      	 0.91613   0.02441  -1.00772   0.06718  
      	     	          	           	             	                                      	 0.14097   0.79136   0.05898  -0.99131  

  #25	14   	-727635.61184	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00483   0.05876   0.80544   0.14063  
      	     	          	           	             	                                      	 0.06772  -0.99867   0.02366   0.90729  
      	     	          	           	             	                                      	 0.91992   0.02345  -1.00927   0.06590  
      	     	          	           	             	                                      	 0.14100   0.78932   0.05786  -0.98817  

  #26	14   	-726786.96506	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00246   0.05971   0.80423   0.13853  
      	     	          	           	             	                                      	 0.06882  -1.00373   0.02311   0.91180  
      	     	          	           	             	                                      	 0.91854   0.02290  -1.00612   0.06468  
      	     	          	           	             	                                      	 0.13890   0.79324   0.05678  -0.98891  

  #27	14   	-729233.31836	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00382   0.05859   0.80305   0.14218  
      	     	          	           	             	                                      	 0.06753  -0.99833   0.02292   0.90789  
      	     	          	           	             	                                      	 0.91719   0.02271  -1.00710   0.06720  
      	     	          	           	             	                                      	 0.14256   0.78983   0.05899  -0.99139  

  #28	14   	-728469.67762	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00348   0.05941   0.80630   0.13776  
      	     	          	           	             	                                      	 0.06848  -0.99949   0.02272   0.90829  
      	     	          	           	             	                                      	 0.92091   0.02251  -1.01081   0.06739  
      	     	          	           	             	                                      	 0.13813   0.79019   0.05916  -0.98747  

  #29	14   	-726562.89764	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00248   0.05796   0.80409   0.14042  
      	     	          	           	             	                                      	 0.06681  -0.99987   0.02277   0.91030  
      	     	          	           	             	                                      	 0.91838   0.02256  -1.00744   0.06649  
      	     	          	           	             	                                      	 0.14080   0.79193   0.05837  -0.99110  

  #30	14   	-728652.62313	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00616   0.05797   0.80824   0.13995  
      	     	          	           	             	                                      	 0.06681  -0.99462   0.02292   0.90490  
      	     	          	           	             	                                      	 0.92312   0.02271  -1.01333   0.06749  
      	     	          	           	             	                                      	 0.14032   0.78723   0.05925  -0.98680  

  #31	14   	-728646.48913	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00195   0.05884   0.80442   0.13869  
      	     	          	           	             	                                      	 0.06782  -1.00200   0.02373   0.91045  
      	     	          	           	             	                                      	 0.91876   0.02352  -1.00826   0.06598  
      	     	          	           	             	                                      	 0.13906   0.79206   0.05793  -0.98905  

  #32	14   	-728149.19807	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00159   0.05931   0.80441   0.13788  
      	     	          	           	             	                                      	 0.06835  -1.00246   0.02394   0.91017  
      	     	          	           	             	                                      	 0.91874   0.02372  -1.00894   0.06647  
      	     	          	           	             	                                      	 0.13824   0.79182   0.05835  -0.98842  

  #33	14   	-727701.81984	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00528   0.05795   0.81070   0.13664  
      	     	          	           	             	                                      	 0.06678  -0.99649   0.02312   0.90659  
      	     	          	           	             	                                      	 0.92593   0.02292  -1.01546   0.06662  
      	     	          	           	             	                                      	 0.13700   0.78870   0.05848  -0.98419  

  #34	14   	-727459.28837	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00523   0.05793   0.80984   0.13745  
      	     	          	           	             	                                      	 0.06676  -0.99326   0.02357   0.90292  
      	     	          	           	             	                                      	 0.92495   0.02336  -1.01818   0.06986  
      	     	          	           	             	                                      	 0.13782   0.78551   0.06133  -0.98467  

  #35	14   	-727056.81704	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00387   0.05808   0.80579   0.13999  
      	     	          	           	             	                                      	 0.06694  -0.99750   0.02237   0.90819  
      	     	          	           	             	                                      	 0.92032   0.02217  -1.00988   0.06739  
      	     	          	           	             	                                      	 0.14036   0.79009   0.05916  -0.98962  

  #36	14   	-725141.59095	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00073   0.05856   0.80541   0.13675  
      	     	          	           	             	                                      	 0.06749  -1.00314   0.02324   0.91241  
      	     	          	           	             	                                      	 0.91989   0.02303  -1.00885   0.06593  
      	     	          	           	             	                                      	 0.13711   0.79377   0.05788  -0.98877  

  #37	14   	-727357.54989	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00275   0.05895   0.80410   0.13970  
      	     	          	           	             	                                      	 0.06794  -1.00125   0.02329   0.91002  
      	     	          	           	             	                                      	 0.91840   0.02308  -1.00741   0.06593  
      	     	          	           	             	                                      	 0.14007   0.79169   0.05788  -0.98964  

  #38	14   	-728216.63555	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00441   0.05891   0.80338   0.14212  
      	     	          	           	             	                                      	 0.06789  -0.99866   0.02220   0.90856  
      	     	          	           	             	                                      	 0.91757   0.02200  -1.00614   0.06657  
      	     	          	           	             	                                      	 0.14250   0.79042   0.05844  -0.99136  

  #39	14   	-727335.90270	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00241   0.05721   0.80421   0.14099  
      	     	          	           	             	                                      	 0.06594  -1.00092   0.02465   0.91033  
      	     	          	           	             	                                      	 0.91852   0.02442  -1.00762   0.06467  
      	     	          	           	             	                                      	 0.14136   0.79196   0.05677  -0.99010  

  #40	14   	-728546.78204	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99926   0.05835   0.79898   0.14193  
      	     	          	           	             	                                      	 0.06724  -1.00497   0.02255   0.91518  
      	     	          	           	             	                                      	 0.91254   0.02234  -1.00044   0.06555  
      	     	          	           	             	                                      	 0.14231   0.79618   0.05755  -0.99604  

  #41	14   	-726609.46258	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00515   0.05660   0.80800   0.14054  
      	     	          	           	             	                                      	 0.06524  -0.99673   0.02295   0.90854  
      	     	          	           	             	                                      	 0.92284   0.02275  -1.01060   0.06501  
      	     	          	           	             	                                      	 0.14092   0.79040   0.05707  -0.98839  

  #42	14   	-727972.06150	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00470   0.06120   0.80430   0.13921  
      	     	          	           	             	                                      	 0.07053  -1.00216   0.02319   0.90843  
      	     	          	           	             	                                      	 0.91862   0.02298  -1.00698   0.06538  
      	     	          	           	             	                                      	 0.13958   0.79031   0.05740  -0.98728  

  #43	14   	-727164.56552	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00406   0.05599   0.80758   0.14049  
      	     	          	           	             	                                      	 0.06453  -0.99550   0.02406   0.90690  
      	     	          	           	             	                                      	 0.92237   0.02385  -1.01298   0.06676  
      	     	          	           	             	                                      	 0.14086   0.78898   0.05861  -0.98845  

  #44	14   	-729032.21119	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99960   0.05867   0.80075   0.14018  
      	     	          	           	             	                                      	 0.06762  -1.00458   0.02319   0.91377  
      	     	          	           	             	                                      	 0.91457   0.02298  -1.00346   0.06592  
      	     	          	           	             	                                      	 0.14056   0.79495   0.05787  -0.99338  

  #45	14   	-726886.46112	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00462   0.05708   0.80787   0.13967  
      	     	          	           	             	                                      	 0.06579  -0.99739   0.02426   0.90734  
      	     	          	           	             	                                      	 0.92270   0.02404  -1.01224   0.06549  
      	     	          	           	             	                                      	 0.14004   0.78936   0.05749  -0.98689  

  #46	14   	-728504.12343	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00308   0.05893   0.80492   0.13923  
      	     	          	           	             	                                      	 0.06792  -1.00035   0.02428   0.90815  
      	     	          	           	             	                                      	 0.91933   0.02406  -1.00982   0.06643  
      	     	          	           	             	                                      	 0.13960   0.79006   0.05832  -0.98799  

  #47	14   	-727868.63895	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00369   0.05820   0.80366   0.14183  
      	     	          	           	             	                                      	 0.06708  -0.99834   0.02253   0.90873  
      	     	          	           	             	                                      	 0.91789   0.02232  -1.00711   0.06690  
      	     	          	           	             	                                      	 0.14221   0.79057   0.05873  -0.99150  

  #48	14   	-727636.81582	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00202   0.05963   0.80309   0.13930  
      	     	          	           	             	                                      	 0.06872  -1.00333   0.02327   0.91134  
      	     	          	           	             	                                      	 0.91724   0.02306  -1.00579   0.06548  
      	     	          	           	             	                                      	 0.13967   0.79283   0.05749  -0.98999  

  #49	14   	-726411.34465	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00586   0.05903   0.81131   0.13552  
      	     	          	           	             	                                      	 0.06803  -0.99822   0.02304   0.90715  
      	     	          	           	             	                                      	 0.92663   0.02283  -1.01493   0.06548  
      	     	          	           	             	                                      	 0.13588   0.78919   0.05748  -0.98256  

  #50	14   	-727960.12671	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99738   0.05729   0.80223   0.13786  
      	     	          	           	             	                                      	 0.06603  -1.00471   0.02413   0.91455  
      	     	          	           	             	                                      	 0.91626   0.02391  -1.00692   0.06675  
      	     	          	           	             	                                      	 0.13823   0.79563   0.05860  -0.99246  

  #51	14   	-727175.72020	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00065   0.05822   0.80622   0.13621  
      	     	          	           	             	                                      	 0.06710  -1.00069   0.02347   0.91013  
      	     	          	           	             	                                      	 0.92082   0.02326  -1.01212   0.06805  
      	     	          	           	             	                                      	 0.13658   0.79178   0.05974  -0.98810  

  #52	14   	-727387.15665	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99873   0.05849   0.80276   0.13748  
      	     	          	           	             	                                      	 0.06742  -1.00385   0.02388   0.91256  
      	     	          	           	             	                                      	 0.91686   0.02367  -1.00795   0.06743  
      	     	          	           	             	                                      	 0.13784   0.79390   0.05920  -0.99094  

  #53	14   	-727630.55182	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00438   0.06047   0.80369   0.14022  
      	     	          	           	             	                                      	 0.06969  -0.99962   0.02260   0.90733  
      	     	          	           	             	                                      	 0.91793   0.02240  -1.00776   0.06743  
      	     	          	           	             	                                      	 0.14059   0.78935   0.05920  -0.98913  

  #54	14   	-728167.32160	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00429   0.05715   0.81039   0.13676  
      	     	          	           	             	                                      	 0.06586  -0.99434   0.02376   0.90471  
      	     	          	           	             	                                      	 0.92557   0.02355  -1.01809   0.06897  
      	     	          	           	             	                                      	 0.13713   0.78707   0.06054  -0.98474  

  #55	14   	-728529.09301	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00466   0.05939   0.80507   0.14020  
      	     	          	           	             	                                      	 0.06845  -1.00030   0.02305   0.90881  
      	     	          	           	             	                                      	 0.91951   0.02284  -1.00755   0.06520  
      	     	          	           	             	                                      	 0.14057   0.79063   0.05723  -0.98844  

  #56	14   	-728669.26526	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00256   0.05966   0.80450   0.13841  
      	     	          	           	             	                                      	 0.06876  -1.00013   0.02225   0.90913  
      	     	          	           	             	                                      	 0.91885   0.02205  -1.00897   0.06807  
      	     	          	           	             	                                      	 0.13878   0.79091   0.05975  -0.98944  

  #57	14   	-727967.42991	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00591   0.05620   0.80956   0.14014  
      	     	          	           	             	                                      	 0.06478  -0.99359   0.02386   0.90495  
      	     	          	           	             	                                      	 0.92463   0.02364  -1.01506   0.06678  
      	     	          	           	             	                                      	 0.14052   0.78728   0.05863  -0.98643  

  #58	14   	-727761.24171	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00712   0.05962   0.80734   0.14017  
      	     	          	           	             	                                      	 0.06872  -0.99767   0.02409   0.90486  
      	     	          	           	             	                                      	 0.92209   0.02387  -1.01122   0.06526  
      	     	          	           	             	                                      	 0.14054   0.78720   0.05729  -0.98503  

  #59	14   	-727463.59326	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00274   0.05597   0.80541   0.14136  
      	     	          	           	             	                                      	 0.06451  -0.99720   0.02373   0.90896  
      	     	          	           	             	                                      	 0.91989   0.02351  -1.00996   0.06656  
