. Sequence file : [6t_filtered_min4_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #18	6   	-105260.21056	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04910   0.06655   0.79771   0.18485  
      	     	          	           	             	                                      	 0.07515  -0.96611   0.02671   0.86424  
      	     	          	           	             	                                      	 0.88494   0.02624  -0.97189   0.06071  
      	     	          	           	             	                                      	 0.18510   0.76635   0.05480  -1.00625  

  #19	6   	-104850.52737	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05552   0.06225   0.80631   0.18696  
      	     	          	           	             	                                      	 0.07030  -0.95605   0.02332   0.86243  
      	     	          	           	             	                                      	 0.89449   0.02291  -0.97610   0.05870  
      	     	          	           	             	                                      	 0.18722   0.76475   0.05299  -1.00495  

  #20	6   	-104873.25010	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03613   0.06463   0.79260   0.17890  
      	     	          	           	             	                                      	 0.07298  -0.97828   0.02089   0.88441  
      	     	          	           	             	                                      	 0.87928   0.02052  -0.96082   0.06102  
      	     	          	           	             	                                      	 0.17914   0.78423   0.05508  -1.01845  

  #21	6   	-105124.69023	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04882   0.06433   0.80145   0.18303  
      	     	          	           	             	                                      	 0.07265  -0.95967   0.02063   0.86639  
      	     	          	           	             	                                      	 0.88910   0.02026  -0.97425   0.06489  
      	     	          	           	             	                                      	 0.18328   0.76826   0.05857  -1.01011  

  #22	6   	-104962.92049	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04541   0.05904   0.79831   0.18807  
      	     	          	           	             	                                      	 0.06667  -0.96704   0.02938   0.87100  
      	     	          	           	             	                                      	 0.88561   0.02886  -0.97002   0.05556  
      	     	          	           	             	                                      	 0.18832   0.77234   0.05015  -1.01081  

  #23	6   	-105607.98291	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05231   0.07204   0.79882   0.18145  
      	     	          	           	             	                                      	 0.08135  -0.96449   0.01932   0.86382  
      	     	          	           	             	                                      	 0.88618   0.01898  -0.96999   0.06483  
      	     	          	           	             	                                      	 0.18170   0.76598   0.05852  -1.00620  

  #24	6   	-105475.71724	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04846   0.06547   0.78932   0.19367  
      	     	          	           	             	                                      	 0.07393  -0.96341   0.02247   0.86702  
      	     	          	           	             	                                      	 0.87564   0.02207  -0.96058   0.06287  
      	     	          	           	             	                                      	 0.19394   0.76881   0.05675  -1.01950  

  #25	6   	-104933.86756	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05588   0.06359   0.80893   0.18337  
      	     	          	           	             	                                      	 0.07181  -0.95799   0.02100   0.86518  
      	     	          	           	             	                                      	 0.89739   0.02063  -0.97589   0.05788  
      	     	          	           	             	                                      	 0.18362   0.76719   0.05224  -1.00305  

  #26	6   	-105083.48698	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.06010   0.06704   0.81233   0.18072  
